-0.00567	-0.06413	-0.03733	-0.04156	-0.04563	-0.08365	0.12803	-0.33885	-0.26531	-0.19261
-0.00509	-0.07217	-0.04724	-0.04388	-0.05727	-0.10010	0.14624	-0.38574	-0.30276	-0.21379
-0.00411	-0.08045	-0.05825	-0.04572	-0.06979	-0.11852	0.16502	-0.43600	-0.34333	-0.23616
-0.00269	-0.08888	-0.07030	-0.04702	-0.08304	-0.13895	0.18409	-0.48946	-0.38692	-0.25967
-0.00080	-0.09737	-0.08337	-0.04774	-0.09688	-0.16141	0.20314	-0.54587	-0.43338	-0.28423
0.00158	-0.10585	-0.09737	-0.04785	-0.11112	-0.18591	0.22187	-0.60499	-0.48255	-0.30977
0.00444	-0.11422	-0.11224	-0.04733	-0.12559	-0.21244	0.23994	-0.66650	-0.53420	-0.33618
0.00780	-0.12242	-0.12788	-0.04619	-0.14012	-0.24096	0.25701	-0.73008	-0.58809	-0.36335
0.01164	-0.13036	-0.14416	-0.04446	-0.15453	-0.27141	0.27277	-0.79539	-0.64398	-0.39117
0.01599	-0.13799	-0.16099	-0.04220	-0.16866	-0.30374	0.28689	-0.86204	-0.70158	-0.41952
0.02083	-0.14524	-0.17822	-0.03948	-0.18236	-0.33786	0.29909	-0.92965	-0.76061	-0.44828
0.02619	-0.15205	-0.19574	-0.03639	-0.19550	-0.37368	0.30910	-0.99783	-0.82078	-0.47733
0.03205	-0.15841	-0.21340	-0.03302	-0.20798	-0.41108	0.31672	-1.06618	-0.88178	-0.50655
0.03842	-0.16429	-0.23107	-0.02948	-0.21969	-0.44994	0.32174	-1.13431	-0.94332	-0.53580
0.04528	-0.16968	-0.24862	-0.02589	-0.23056	-0.49012	0.32402	-1.20185	-1.00509	-0.56498
0.05261	-0.17461	-0.26589	-0.02237	-0.24052	-0.53147	0.32346	-1.26844	-1.06682	-0.59396
0.06038	-0.17907	-0.28277	-0.01902	-0.24953	-0.57381	0.31998	-1.33372	-1.12822	-0.62264
0.06856	-0.18311	-0.29910	-0.01598	-0.25755	-0.61694	0.31357	-1.39737	-1.18905	-0.65090
0.07714	-0.18674	-0.31478	-0.01332	-0.26456	-0.66065	0.30423	-1.45908	-1.24905	-0.67864
0.08609	-0.18999	-0.32966	-0.01114	-0.27055	-0.70475	0.29201	-1.51855	-1.30802	-0.70578
0.09537	-0.19289	-0.34364	-0.00952	-0.27553	-0.74899	0.27699	-1.57552	-1.36573	-0.73221
0.10494	-0.19544	-0.35661	-0.00851	-0.27952	-0.79315	0.25926	-1.62974	-1.42200	-0.75784
0.11477	-0.19765	-0.36848	-0.00816	-0.28254	-0.83701	0.23898	-1.68100	-1.47664	-0.78259
0.12481	-0.19954	-0.37917	-0.00849	-0.28463	-0.88034	0.21629	-1.72908	-1.52948	-0.80637
0.13501	-0.20110	-0.38864	-0.00951	-0.28581	-0.92292	0.19140	-1.77383	-1.58034	-0.82909
0.14532	-0.20231	-0.39686	-0.01122	-0.28614	-0.96457	0.16451	-1.81510	-1.62906	-0.85069
0.15566	-0.20317	-0.40381	-0.01361	-0.28564	-1.00510	0.13587	-1.85277	-1.67551	-0.87111
0.16599	-0.20367	-0.40951	-0.01665	-0.28436	-1.04437	0.10573	-1.88676	-1.71955	-0.89029
0.17623	-0.20382	-0.41400	-0.02030	-0.28231	-1.08224	0.07435	-1.91704	-1.76106	-0.90819
0.18632	-0.20360	-0.41733	-0.02450	-0.27953	-1.11859	0.04201	-1.94360	-1.79996	-0.92477
0.19620	-0.20303	-0.41958	-0.02920	-0.27604	-1.15333	0.00898	-1.96647	-1.83617	-0.94001
